Date of analysis,Country,Total country population,Level 1,Validity period,From,To,Phase,Number,Percentage
#date+analysis,#country+code,#population,#loc+level1,#period+v_ipc,#date+start,#date+end,#severity+v_ipc,#affected+num,#affected+pct
Apr 2024,SDN,47208125,West Kordofan,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,West Kordofan,second projection,2024-10-01,2025-02-28,all,1823319,1.0
Apr 2024,SDN,47208125,West Kordofan,second projection,2024-10-01,2025-02-28,3+,776278,0.42
Apr 2024,SDN,47208125,West Kordofan,second projection,2024-10-01,2025-02-28,1,316156,0.17
Apr 2024,SDN,47208125,West Kordofan,second projection,2024-10-01,2025-02-28,2,730885,0.4
Apr 2024,SDN,47208125,West Kordofan,second projection,2024-10-01,2025-02-28,3,498456,0.27
Apr 2024,SDN,47208125,West Kordofan,second projection,2024-10-01,2025-02-28,4,277823,0.15
Apr 2024,SDN,47208125,West Kordofan,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Khartoum,current,2024-04-01,2024-05-31,all,5190110,1.0
Apr 2024,SDN,47208125,Khartoum,current,2024-04-01,2024-05-31,3+,2541541,0.49
Apr 2024,SDN,47208125,Khartoum,current,2024-04-01,2024-05-31,1,753159,0.15
Apr 2024,SDN,47208125,Khartoum,current,2024-04-01,2024-05-31,2,1895411,0.37
Apr 2024,SDN,47208125,Khartoum,current,2024-04-01,2024-05-31,3,1647350,0.32
Apr 2024,SDN,47208125,Khartoum,current,2024-04-01,2024-05-31,4,894191,0.17
Apr 2024,SDN,47208125,Khartoum,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Khartoum,first projection,2024-06-01,2024-09-30,all,5190110,1.0
Apr 2024,SDN,47208125,Khartoum,first projection,2024-06-01,2024-09-30,3+,3008436,0.58
Apr 2024,SDN,47208125,Khartoum,first projection,2024-06-01,2024-09-30,1,493653,0.1
Apr 2024,SDN,47208125,Khartoum,first projection,2024-06-01,2024-09-30,2,1688020,0.33
Apr 2024,SDN,47208125,Khartoum,first projection,2024-06-01,2024-09-30,3,1816539,0.35
Apr 2024,SDN,47208125,Khartoum,first projection,2024-06-01,2024-09-30,4,1101581,0.21
Apr 2024,SDN,47208125,Khartoum,first projection,2024-06-01,2024-09-30,5,90317,0.02
Apr 2024,SDN,47208125,Khartoum,second projection,2024-10-01,2025-02-28,all,5190110,1.0
Apr 2024,SDN,47208125,Khartoum,second projection,2024-10-01,2025-02-28,3+,2372352,0.45
Apr 2024,SDN,47208125,Khartoum,second projection,2024-10-01,2025-02-28,1,753159,0.15
Apr 2024,SDN,47208125,Khartoum,second projection,2024-10-01,2025-02-28,2,2064600,0.4
Apr 2024,SDN,47208125,Khartoum,second projection,2024-10-01,2025-02-28,3,1478161,0.28
Apr 2024,SDN,47208125,Khartoum,second projection,2024-10-01,2025-02-28,4,894191,0.17
Apr 2024,SDN,47208125,Khartoum,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,Northern,current,2024-04-01,2024-05-31,all,1430815,1.0
Apr 2024,SDN,47208125,Northern,current,2024-04-01,2024-05-31,3+,416243,0.29
Apr 2024,SDN,47208125,Northern,current,2024-04-01,2024-05-31,1,437871,0.31
Apr 2024,SDN,47208125,Northern,current,2024-04-01,2024-05-31,2,576702,0.4
Apr 2024,SDN,47208125,Northern,current,2024-04-01,2024-05-31,3,363775,0.25
Apr 2024,SDN,47208125,Northern,current,2024-04-01,2024-05-31,4,52468,0.04
Apr 2024,SDN,47208125,Northern,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,Northern,first projection,2024-06-01,2024-09-30,all,1430815,1.0
Apr 2024,SDN,47208125,Northern,first projection,2024-06-01,2024-09-30,3+,501967,0.35
Apr 2024,SDN,47208125,Northern,first projection,2024-06-01,2024-09-30,1,361560,0.25
Apr 2024,SDN,47208125,Northern,first projection,2024-06-01,2024-09-30,2,567288,0.4
Apr 2024,SDN,47208125,Northern,first projection,2024-06-01,2024-09-30,3,458912,0.32
Apr 2024,SDN,47208125,Northern,first projection,2024-06-01,2024-09-30,4,43054,0.03
Apr 2024,SDN,47208125,Northern,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,Northern,second projection,2024-10-01,2025-02-28,all,1430815,1.0
Apr 2024,SDN,47208125,Northern,second projection,2024-10-01,2025-02-28,3+,610788,0.43
Apr 2024,SDN,47208125,Northern,second projection,2024-10-01,2025-02-28,1,284862,0.2
Apr 2024,SDN,47208125,Northern,second projection,2024-10-01,2025-02-28,2,535165,0.37
Apr 2024,SDN,47208125,Northern,second projection,2024-10-01,2025-02-28,3,509933,0.36
Apr 2024,SDN,47208125,Northern,second projection,2024-10-01,2025-02-28,4,100854,0.07
Apr 2024,SDN,47208125,Northern,second projection,2024-10-01,2025-02-28,5,0,0
Apr 2024,SDN,47208125,North Darfur,current,2024-04-01,2024-05-31,all,2450511,1.0
Apr 2024,SDN,47208125,North Darfur,current,2024-04-01,2024-05-31,3+,1438277,0.59
Apr 2024,SDN,47208125,North Darfur,current,2024-04-01,2024-05-31,1,346889,0.14
Apr 2024,SDN,47208125,North Darfur,current,2024-04-01,2024-05-31,2,665345,0.27
Apr 2024,SDN,47208125,North Darfur,current,2024-04-01,2024-05-31,3,788822,0.32
Apr 2024,SDN,47208125,North Darfur,current,2024-04-01,2024-05-31,4,587008,0.24
Apr 2024,SDN,47208125,North Darfur,current,2024-04-01,2024-05-31,5,62447,0.03
Apr 2024,SDN,47208125,North Darfur,first projection,2024-06-01,2024-09-30,all,2450511,1.0
Apr 2024,SDN,47208125,North Darfur,first projection,2024-06-01,2024-09-30,3+,1674343,0.69
Apr 2024,SDN,47208125,North Darfur,first projection,2024-06-01,2024-09-30,1,211868,0.09
Apr 2024,SDN,47208125,North Darfur,first projection,2024-06-01,2024-09-30,2,564300,0.23
Apr 2024,SDN,47208125,North Darfur,first projection,2024-06-01,2024-09-30,3,852964,0.35
Apr 2024,SDN,47208125,North Darfur,first projection,2024-06-01,2024-09-30,4,685723,0.28
Apr 2024,SDN,47208125,North Darfur,first projection,2024-06-01,2024-09-30,5,135656,0.06
Apr 2024,SDN,47208125,North Darfur,second projection,2024-10-01,2025-02-28,all,2450511,1.0
Apr 2024,SDN,47208125,North Darfur,second projection,2024-10-01,2025-02-28,3+,1426862,0.58
Apr 2024,SDN,47208125,North Darfur,second projection,2024-10-01,2025-02-28,1,331522,0.14
Apr 2024,SDN,47208125,North Darfur,second projection,2024-10-01,2025-02-28,2,692127,0.28
Apr 2024,SDN,47208125,North Darfur,second projection,2024-10-01,2025-02-28,3,840911,0.34
Apr 2024,SDN,47208125,North Darfur,second projection,2024-10-01,2025-02-28,4,523505,0.21
Apr 2024,SDN,47208125,North Darfur,second projection,2024-10-01,2025-02-28,5,62447,0.03
Apr 2024,SDN,47208125,White Nile,current,2024-04-01,2024-05-31,all,3233255,1.0
Apr 2024,SDN,47208125,White Nile,current,2024-04-01,2024-05-31,3+,1271505,0.39
Apr 2024,SDN,47208125,White Nile,current,2024-04-01,2024-05-31,1,699983,0.22
Apr 2024,SDN,47208125,White Nile,current,2024-04-01,2024-05-31,2,1261767,0.39
Apr 2024,SDN,47208125,White Nile,current,2024-04-01,2024-05-31,3,1010726,0.31
Apr 2024,SDN,47208125,White Nile,current,2024-04-01,2024-05-31,4,260779,0.08
Apr 2024,SDN,47208125,White Nile,current,2024-04-01,2024-05-31,5,0,0
Apr 2024,SDN,47208125,White Nile,first projection,2024-06-01,2024-09-30,all,3233255,1.0
Apr 2024,SDN,47208125,White Nile,first projection,2024-06-01,2024-09-30,3+,1594831,0.49
Apr 2024,SDN,47208125,White Nile,first projection,2024-06-01,2024-09-30,1,484706,0.15
Apr 2024,SDN,47208125,White Nile,first projection,2024-06-01,2024-09-30,2,1153718,0.36
Apr 2024,SDN,47208125,White Nile,first projection,2024-06-01,2024-09-30,3,1172389,0.36
Apr 2024,SDN,47208125,White Nile,first projection,2024-06-01,2024-09-30,4,422442,0.13
Apr 2024,SDN,47208125,White Nile,first projection,2024-06-01,2024-09-30,5,0,0
Apr 2024,SDN,47208125,White Nile,second projection,2024-10-01,2025-02-28,all,3233255,1.0
Apr 2024,SDN,47208125,White Nile,second projection,2024-10-01,2025-02-28,3+,1448953,0.45
Apr 2024,SDN,47208125,White Nile,second projection,2024-10-01,2025-02-28,1,560954,0.17
Apr 2024,SDN,47208125,White Nile,second projection,2024-10-01,2025-02-28,2,1223348,0.38
Apr 2024,SDN,47208125,White Nile,second projection,2024-10-01,2025-02-28,3,1086863,0.34
Apr 2024,SDN,47208125,White Nile,second projection,2024-10-01,2025-02-28,4,362090,0.11
Apr 2024,SDN,47208125,White Nile,second projection,2024-10-01,2025-02-28,5,0,0
Oct 2023,SDN,48579711,South Kordofan,second projection,2023-10-01,2024-02-29,all,2077654,1.0
Oct 2023,SDN,48579711,South Kordofan,second projection,2023-10-01,2024-02-29,3+,994183,0.48
Oct 2023,SDN,48579711,South Kordofan,second projection,2023-10-01,2024-02-29,1,336662,0.16
Oct 2023,SDN,48579711,South Kordofan,second projection,2023-10-01,2024-02-29,2,746809,0.36
Oct 2023,SDN,48579711,South Kordofan,second projection,2023-10-01,2024-02-29,3,690123,0.33
Oct 2023,SDN,48579711,South Kordofan,second projection,2023-10-01,2024-02-29,4,304060,0.15
Oct 2023,SDN,48579711,South Kordofan,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,all,2088028,1.0
Oct 2023,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,3+,247373,0.11
Oct 2023,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,1,829747,0.4
Oct 2023,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,2,1010908,0.48
Oct 2023,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,3,217875,0.1
Oct 2023,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,4,29498,0.01
Oct 2023,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,Sennar,second projection,2023-10-01,2024-02-29,all,2403581,1.0
Oct 2023,SDN,48579711,Sennar,second projection,2023-10-01,2024-02-29,3+,411278,0.17
Oct 2023,SDN,48579711,Sennar,second projection,2023-10-01,2024-02-29,1,1064550,0.44
Oct 2023,SDN,48579711,Sennar,second projection,2023-10-01,2024-02-29,2,927754,0.39
Oct 2023,SDN,48579711,Sennar,second projection,2023-10-01,2024-02-29,3,318841,0.13
Oct 2023,SDN,48579711,Sennar,second projection,2023-10-01,2024-02-29,4,92436,0.04
Oct 2023,SDN,48579711,Sennar,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,all,1176114,1.0
Oct 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,3+,551162,0.47
Oct 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,1,256074,0.22
Oct 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,2,368878,0.31
Oct 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,3,408045,0.35
Oct 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,4,143116,0.12
Oct 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,West Kordofan,second projection,2023-10-01,2024-02-29,all,1735672,1.0
Oct 2023,SDN,48579711,West Kordofan,second projection,2023-10-01,2024-02-29,3+,731062,0.42
Oct 2023,SDN,48579711,West Kordofan,second projection,2023-10-01,2024-02-29,1,420608,0.24
Oct 2023,SDN,48579711,West Kordofan,second projection,2023-10-01,2024-02-29,2,584003,0.34
Oct 2023,SDN,48579711,West Kordofan,second projection,2023-10-01,2024-02-29,3,449343,0.26
Oct 2023,SDN,48579711,West Kordofan,second projection,2023-10-01,2024-02-29,4,281719,0.16
Oct 2023,SDN,48579711,West Kordofan,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,Northern,second projection,2023-10-01,2024-02-29,all,1386956,1.0
Oct 2023,SDN,48579711,Northern,second projection,2023-10-01,2024-02-29,3+,255598,0.18
Oct 2023,SDN,48579711,Northern,second projection,2023-10-01,2024-02-29,1,494163,0.36
Oct 2023,SDN,48579711,Northern,second projection,2023-10-01,2024-02-29,2,637196,0.46
Oct 2023,SDN,48579711,Northern,second projection,2023-10-01,2024-02-29,3,186250,0.13
Oct 2023,SDN,48579711,Northern,second projection,2023-10-01,2024-02-29,4,69348,0.05
Oct 2023,SDN,48579711,Northern,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,all,3108018,1.0
Oct 2023,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,3+,618419,0.2
Oct 2023,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,1,1113819,0.36
Oct 2023,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,2,1375780,0.44
Oct 2023,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,3,463018,0.15
Oct 2023,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,4,155401,0.05
Oct 2023,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,all,1891564,1.0
Oct 2023,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,3+,1131181,0.6
Oct 2023,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,1,263365,0.14
Oct 2023,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,2,497017,0.26
Oct 2023,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,3,721200,0.38
Oct 2023,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,4,409982,0.22
Oct 2023,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,all,1632391,1.0
Oct 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,3+,397762,0.25
Oct 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,1,465447,0.29
Oct 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,2,769182,0.47
Oct 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,3,335862,0.21
Oct 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,4,61900,0.04
Oct 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,all,2788911,1.0
Oct 2023,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,3+,542886,0.19
Oct 2023,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,1,1097021,0.39
Oct 2023,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,2,1149004,0.41
Oct 2023,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,3,536287,0.19
Oct 2023,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,4,6599,0
Oct 2023,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,all,2530410,1.0
Oct 2023,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,3+,965652,0.38
Oct 2023,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,1,631666,0.25
Oct 2023,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,2,933093,0.37
Oct 2023,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,3,652809,0.26
Oct 2023,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,4,312842,0.12
Oct 2023,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,all,5938705,1.0
Oct 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,3+,1866403,0.31
Oct 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,1,1892529,0.32
Oct 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,2,2179774,0.37
Oct 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,3,1448510,0.24
Oct 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,4,417893,0.07
Oct 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,all,1416233,1.0
Oct 2023,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,3+,290357,0.21
Oct 2023,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,1,547029,0.39
Oct 2023,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,2,578847,0.41
Oct 2023,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,3,209786,0.15
Oct 2023,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,4,80571,0.06
Oct 2023,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,all,3937539,1.0
Oct 2023,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,3+,1713450,0.44
Oct 2023,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,1,801588,0.2
Oct 2023,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,2,1422501,0.36
Oct 2023,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,3,1163935,0.3
Oct 2023,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,4,549515,0.14
Oct 2023,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,North Kordofan,second projection,2023-10-01,2024-02-29,all,2224492,1.0
Oct 2023,SDN,48579711,North Kordofan,second projection,2023-10-01,2024-02-29,3+,954555,0.43
Oct 2023,SDN,48579711,North Kordofan,second projection,2023-10-01,2024-02-29,1,563742,0.25
Oct 2023,SDN,48579711,North Kordofan,second projection,2023-10-01,2024-02-29,2,706195,0.32
Oct 2023,SDN,48579711,North Kordofan,second projection,2023-10-01,2024-02-29,3,683369,0.31
Oct 2023,SDN,48579711,North Kordofan,second projection,2023-10-01,2024-02-29,4,271186,0.12
Oct 2023,SDN,48579711,North Kordofan,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,all,1901819,1.0
Oct 2023,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,3+,929066,0.49
Oct 2023,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,1,310267,0.16
Oct 2023,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,2,662486,0.35
Oct 2023,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,3,612759,0.32
Oct 2023,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,4,316307,0.17
Oct 2023,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,all,7066162,1.0
Oct 2023,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,3+,3874805,0.55
Oct 2023,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,1,821018,0.12
Oct 2023,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,2,2370339,0.34
Oct 2023,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,3,2708608,0.38
Oct 2023,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,4,1166197,0.17
Oct 2023,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,5,0,0
Oct 2023,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,all,2886457,1.0
Oct 2023,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,3+,1251690,0.43
Oct 2023,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,1,571891,0.2
Oct 2023,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,2,1062876,0.37
Oct 2023,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,3,1021773,0.35
Oct 2023,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,4,229917,0.08
Oct 2023,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,5,0,0
Jun 2023,SDN,48579711,Red Sea,current,2023-06-01,2023-06-30,all,1632391,1.0
Jun 2023,SDN,48579711,Red Sea,current,2023-06-01,2023-06-30,3+,427936,0.26
Jun 2023,SDN,48579711,Red Sea,current,2023-06-01,2023-06-30,1,491831,0.3
Jun 2023,SDN,48579711,Red Sea,current,2023-06-01,2023-06-30,2,712625,0.44
Jun 2023,SDN,48579711,Red Sea,current,2023-06-01,2023-06-30,3,341905,0.21
Jun 2023,SDN,48579711,Red Sea,current,2023-06-01,2023-06-30,4,86030,0.05
Jun 2023,SDN,48579711,Red Sea,current,2023-06-01,2023-06-30,5,0,0
Jun 2023,SDN,48579711,Red Sea,first projection,2023-07-01,2023-09-30,all,1632391,1.0
Jun 2023,SDN,48579711,Red Sea,first projection,2023-07-01,2023-09-30,3+,512510,0.32
Jun 2023,SDN,48579711,Red Sea,first projection,2023-07-01,2023-09-30,1,395213,0.24
Jun 2023,SDN,48579711,Red Sea,first projection,2023-07-01,2023-09-30,2,724669,0.44
Jun 2023,SDN,48579711,Red Sea,first projection,2023-07-01,2023-09-30,3,418428,0.26
Jun 2023,SDN,48579711,Red Sea,first projection,2023-07-01,2023-09-30,4,94081,0.06
Jun 2023,SDN,48579711,Red Sea,first projection,2023-07-01,2023-09-30,5,0,0
Jun 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,all,1632391,1.0
Jun 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,3+,397762,0.25
Jun 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,1,465447,0.29
Jun 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,2,769182,0.47
Jun 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,3,335862,0.21
Jun 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,4,61900,0.04
Jun 2023,SDN,48579711,Red Sea,second projection,2023-10-01,2024-02-29,5,0,0
Jun 2023,SDN,48579711,Aj Jazirah,current,2023-06-01,2023-06-30,all,5938705,1.0
Jun 2023,SDN,48579711,Aj Jazirah,current,2023-06-01,2023-06-30,3+,1379427,0.23
Jun 2023,SDN,48579711,Aj Jazirah,current,2023-06-01,2023-06-30,1,2068634,0.35
Jun 2023,SDN,48579711,Aj Jazirah,current,2023-06-01,2023-06-30,2,2490644,0.42
Jun 2023,SDN,48579711,Aj Jazirah,current,2023-06-01,2023-06-30,3,979405,0.16
Jun 2023,SDN,48579711,Aj Jazirah,current,2023-06-01,2023-06-30,4,400022,0.07
Jun 2023,SDN,48579711,Aj Jazirah,current,2023-06-01,2023-06-30,5,0,0
Jun 2023,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,all,5938705,1.0
Jun 2023,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,3+,1722000,0.29
Jun 2023,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,1,1679404,0.28
Jun 2023,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,2,2537301,0.43
Jun 2023,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,3,1286288,0.22
Jun 2023,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,4,435712,0.07
Jun 2023,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,5,0,0
Jun 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,all,5938705,1.0
Jun 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,3+,1300318,0.21
Jun 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,1,2122048,0.36
Jun 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,2,2516340,0.42
Jun 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,3,1039092,0.17
Jun 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,4,261226,0.04
Jun 2023,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,5,0,0
Jun 2023,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,all,1176114,1.0
Jun 2023,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,3+,532593,0.45
Jun 2023,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,1,271756,0.23
Jun 2023,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,2,371765,0.32
Jun 2023,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,3,352150,0.3
Jun 2023,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,4,180443,0.15
Jun 2023,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,5,0,0
Jun 2023,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,all,1176114,1.0
Jun 2023,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,3+,627636,0.53
Jun 2023,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,1,234045,0.2
Jun 2023,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,2,314432,0.27
Jun 2023,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,3,401284,0.34
Jun 2023,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,4,226353,0.19
Jun 2023,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,5,0,0
Jun 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,all,1176114,1.0
Jun 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,3+,519215,0.44
Jun 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,1,264138,0.22
Jun 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,2,392760,0.33
Jun 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,3,366723,0.31
Jun 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,4,152493,0.13
Jun 2023,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,5,0,0
Jun 2023,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,all,1891564,1.0
Jun 2023,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,3+,1089603,0.57
Jun 2023,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,1,261544,0.14
Jun 2023,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,2,540417,0.29
Jun 2023,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,3,741656,0.39
Jun 2023,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,4,347947,0.18
Jun 2023,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,5,0,0
Jun 2023,SDN,48579711,West Darfur,first projection,2023-07-01,2023-09-30,all,1891564,1.0
Jun 2023,SDN,48579711,West Darfur,first projection,2023-07-01,2023-09-30,3+,1184181,0.63
