,date_analysis,country,total_population,region,validity_period,date_from,date_to,phase,affected_number,percentage,month
530,2023-06-01,SDN,48579711,Aj Jazirah,current,2023-06-01,2023-06-30,3,979405,0.16,2023-06
531,2023-06-01,SDN,48579711,Aj Jazirah,current,2023-06-01,2023-06-30,4,400022,0.07,2023-06
532,2023-06-01,SDN,48579711,Aj Jazirah,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
533,2023-06-01,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,all,5938705,1.0,2023-06
534,2023-06-01,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,3+,1722000,0.29,2023-06
535,2023-06-01,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,1,1679404,0.28,2023-06
536,2023-06-01,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,2,2537301,0.43,2023-06
537,2023-06-01,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,3,1286288,0.22,2023-06
538,2023-06-01,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,4,435712,0.07,2023-06
539,2023-06-01,SDN,48579711,Aj Jazirah,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
540,2023-06-01,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,all,5938705,1.0,2023-06
541,2023-06-01,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,3+,1300318,0.21,2023-06
542,2023-06-01,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,1,2122048,0.36,2023-06
543,2023-06-01,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,2,2516340,0.42,2023-06
544,2023-06-01,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,3,1039092,0.17,2023-06
545,2023-06-01,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,4,261226,0.04,2023-06
546,2023-06-01,SDN,48579711,Aj Jazirah,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
547,2023-06-01,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,all,1176114,1.0,2023-06
548,2023-06-01,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,3+,532593,0.45,2023-06
549,2023-06-01,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,1,271756,0.23,2023-06
550,2023-06-01,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,2,371765,0.32,2023-06
551,2023-06-01,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,3,352150,0.3,2023-06
552,2023-06-01,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,4,180443,0.15,2023-06
553,2023-06-01,SDN,48579711,East Darfur,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
554,2023-06-01,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,all,1176114,1.0,2023-06
555,2023-06-01,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,3+,627636,0.53,2023-06
556,2023-06-01,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,1,234045,0.2,2023-06
557,2023-06-01,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,2,314432,0.27,2023-06
558,2023-06-01,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,3,401284,0.34,2023-06
559,2023-06-01,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,4,226353,0.19,2023-06
560,2023-06-01,SDN,48579711,East Darfur,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
561,2023-06-01,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,all,1176114,1.0,2023-06
562,2023-06-01,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,3+,519215,0.44,2023-06
563,2023-06-01,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,1,264138,0.22,2023-06
564,2023-06-01,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,2,392760,0.33,2023-06
565,2023-06-01,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,3,366723,0.31,2023-06
566,2023-06-01,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,4,152493,0.13,2023-06
567,2023-06-01,SDN,48579711,East Darfur,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
568,2023-06-01,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,all,1891564,1.0,2023-06
569,2023-06-01,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,3+,1089603,0.57,2023-06
570,2023-06-01,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,1,261544,0.14,2023-06
571,2023-06-01,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,2,540417,0.29,2023-06
572,2023-06-01,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,3,741656,0.39,2023-06
573,2023-06-01,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,4,347947,0.18,2023-06
574,2023-06-01,SDN,48579711,West Darfur,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
575,2023-06-01,SDN,48579711,West Darfur,first projection,2023-07-01,2023-09-30,all,1891564,1.0,2023-06
576,2023-06-01,SDN,48579711,West Darfur,first projection,2023-07-01,2023-09-30,3+,1184181,0.63,2023-06
577,2023-06-01,SDN,48579711,West Darfur,first projection,2023-07-01,2023-09-30,1,178774,0.09,2023-06
578,2023-06-01,SDN,48579711,West Darfur,first projection,2023-07-01,2023-09-30,2,528609,0.28,2023-06
579,2023-06-01,SDN,48579711,West Darfur,first projection,2023-07-01,2023-09-30,3,775618,0.41,2023-06
580,2023-06-01,SDN,48579711,West Darfur,first projection,2023-07-01,2023-09-30,4,408563,0.22,2023-06
581,2023-06-01,SDN,48579711,West Darfur,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
582,2023-06-01,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,all,1891564,1.0,2023-06
583,2023-06-01,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,3+,970443,0.52,2023-06
584,2023-06-01,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,1,297211,0.16,2023-06
585,2023-06-01,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,2,623910,0.33,2023-06
586,2023-06-01,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,3,710277,0.38,2023-06
587,2023-06-01,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,4,260166,0.14,2023-06
588,2023-06-01,SDN,48579711,West Darfur,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
589,2023-06-01,SDN,48579711,Central Darfur,current,2023-06-01,2023-06-30,all,1901819,1.0,2023-06
590,2023-06-01,SDN,48579711,Central Darfur,current,2023-06-01,2023-06-30,3+,905252,0.48,2023-06
591,2023-06-01,SDN,48579711,Central Darfur,current,2023-06-01,2023-06-30,1,389602,0.2,2023-06
592,2023-06-01,SDN,48579711,Central Darfur,current,2023-06-01,2023-06-30,2,606965,0.32,2023-06
593,2023-06-01,SDN,48579711,Central Darfur,current,2023-06-01,2023-06-30,3,600872,0.32,2023-06
594,2023-06-01,SDN,48579711,Central Darfur,current,2023-06-01,2023-06-30,4,304380,0.16,2023-06
595,2023-06-01,SDN,48579711,Central Darfur,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
596,2023-06-01,SDN,48579711,Central Darfur,first projection,2023-07-01,2023-09-30,all,1901819,1.0,2023-06
597,2023-06-01,SDN,48579711,Central Darfur,first projection,2023-07-01,2023-09-30,3+,1009902,0.53,2023-06
598,2023-06-01,SDN,48579711,Central Darfur,first projection,2023-07-01,2023-09-30,1,293703,0.15,2023-06
599,2023-06-01,SDN,48579711,Central Darfur,first projection,2023-07-01,2023-09-30,2,598215,0.31,2023-06
600,2023-06-01,SDN,48579711,Central Darfur,first projection,2023-07-01,2023-09-30,3,624988,0.33,2023-06
601,2023-06-01,SDN,48579711,Central Darfur,first projection,2023-07-01,2023-09-30,4,384914,0.2,2023-06
602,2023-06-01,SDN,48579711,Central Darfur,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
603,2023-06-01,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,all,1901819,1.0,2023-06
604,2023-06-01,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,3+,739185,0.39,2023-06
605,2023-06-01,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,1,405074,0.21,2023-06
606,2023-06-01,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,2,757560,0.4,2023-06
607,2023-06-01,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,3,527314,0.28,2023-06
608,2023-06-01,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,4,211872,0.11,2023-06
609,2023-06-01,SDN,48579711,Central Darfur,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
610,2023-06-01,SDN,48579711,Blue Nile,current,2023-06-01,2023-06-30,all,1416233,1.0,2023-06
611,2023-06-01,SDN,48579711,Blue Nile,current,2023-06-01,2023-06-30,3+,375107,0.26,2023-06
612,2023-06-01,SDN,48579711,Blue Nile,current,2023-06-01,2023-06-30,1,425507,0.3,2023-06
613,2023-06-01,SDN,48579711,Blue Nile,current,2023-06-01,2023-06-30,2,615619,0.43,2023-06
614,2023-06-01,SDN,48579711,Blue Nile,current,2023-06-01,2023-06-30,3,289055,0.2,2023-06
615,2023-06-01,SDN,48579711,Blue Nile,current,2023-06-01,2023-06-30,4,86052,0.06,2023-06
616,2023-06-01,SDN,48579711,Blue Nile,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
617,2023-06-01,SDN,48579711,Blue Nile,first projection,2023-07-01,2023-09-30,all,1416233,1.0,2023-06
618,2023-06-01,SDN,48579711,Blue Nile,first projection,2023-07-01,2023-09-30,3+,445919,0.32,2023-06
619,2023-06-01,SDN,48579711,Blue Nile,first projection,2023-07-01,2023-09-30,1,347605,0.25,2023-06
620,2023-06-01,SDN,48579711,Blue Nile,first projection,2023-07-01,2023-09-30,2,622710,0.44,2023-06
621,2023-06-01,SDN,48579711,Blue Nile,first projection,2023-07-01,2023-09-30,3,318935,0.23,2023-06
622,2023-06-01,SDN,48579711,Blue Nile,first projection,2023-07-01,2023-09-30,4,126984,0.09,2023-06
623,2023-06-01,SDN,48579711,Blue Nile,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
624,2023-06-01,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,all,1416233,1.0,2023-06
625,2023-06-01,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,3+,290357,0.21,2023-06
626,2023-06-01,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,1,547029,0.39,2023-06
627,2023-06-01,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,2,578847,0.41,2023-06
628,2023-06-01,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,3,209786,0.15,2023-06
629,2023-06-01,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,4,80571,0.06,2023-06
630,2023-06-01,SDN,48579711,Blue Nile,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
631,2023-06-01,SDN,48579711,River Nile,current,2023-06-01,2023-06-30,all,2088028,1.0,2023-06
632,2023-06-01,SDN,48579711,River Nile,current,2023-06-01,2023-06-30,3+,290797,0.14,2023-06
633,2023-06-01,SDN,48579711,River Nile,current,2023-06-01,2023-06-30,1,887680,0.43,2023-06
634,2023-06-01,SDN,48579711,River Nile,current,2023-06-01,2023-06-30,2,909551,0.44,2023-06
635,2023-06-01,SDN,48579711,River Nile,current,2023-06-01,2023-06-30,3,206474,0.1,2023-06
636,2023-06-01,SDN,48579711,River Nile,current,2023-06-01,2023-06-30,4,84323,0.04,2023-06
637,2023-06-01,SDN,48579711,River Nile,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
638,2023-06-01,SDN,48579711,River Nile,first projection,2023-07-01,2023-09-30,all,2088028,1.0,2023-06
639,2023-06-01,SDN,48579711,River Nile,first projection,2023-07-01,2023-09-30,3+,399855,0.19,2023-06
640,2023-06-01,SDN,48579711,River Nile,first projection,2023-07-01,2023-09-30,1,771204,0.37,2023-06
641,2023-06-01,SDN,48579711,River Nile,first projection,2023-07-01,2023-09-30,2,916969,0.44,2023-06
642,2023-06-01,SDN,48579711,River Nile,first projection,2023-07-01,2023-09-30,3,308668,0.15,2023-06
643,2023-06-01,SDN,48579711,River Nile,first projection,2023-07-01,2023-09-30,4,91187,0.04,2023-06
644,2023-06-01,SDN,48579711,River Nile,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
645,2023-06-01,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,all,2088028,1.0,2023-06
646,2023-06-01,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,3+,247373,0.11,2023-06
647,2023-06-01,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,1,829747,0.4,2023-06
648,2023-06-01,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,2,1010908,0.48,2023-06
649,2023-06-01,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,3,217875,0.1,2023-06
650,2023-06-01,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,4,29498,0.01,2023-06
651,2023-06-01,SDN,48579711,River Nile,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
652,2023-06-01,SDN,48579711,Gedaref,current,2023-06-01,2023-06-30,all,2788911,1.0,2023-06
653,2023-06-01,SDN,48579711,Gedaref,current,2023-06-01,2023-06-30,3+,572965,0.21,2023-06
654,2023-06-01,SDN,48579711,Gedaref,current,2023-06-01,2023-06-30,1,1019158,0.37,2023-06
655,2023-06-01,SDN,48579711,Gedaref,current,2023-06-01,2023-06-30,2,1196788,0.43,2023-06
656,2023-06-01,SDN,48579711,Gedaref,current,2023-06-01,2023-06-30,3,549412,0.2,2023-06
657,2023-06-01,SDN,48579711,Gedaref,current,2023-06-01,2023-06-30,4,23553,0.01,2023-06
658,2023-06-01,SDN,48579711,Gedaref,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
659,2023-06-01,SDN,48579711,Gedaref,first projection,2023-07-01,2023-09-30,all,2788911,1.0,2023-06
660,2023-06-01,SDN,48579711,Gedaref,first projection,2023-07-01,2023-09-30,3+,773103,0.28,2023-06
661,2023-06-01,SDN,48579711,Gedaref,first projection,2023-07-01,2023-09-30,1,843044,0.3,2023-06
662,2023-06-01,SDN,48579711,Gedaref,first projection,2023-07-01,2023-09-30,2,1172764,0.42,2023-06
663,2023-06-01,SDN,48579711,Gedaref,first projection,2023-07-01,2023-09-30,3,695004,0.25,2023-06
664,2023-06-01,SDN,48579711,Gedaref,first projection,2023-07-01,2023-09-30,4,78099,0.03,2023-06
665,2023-06-01,SDN,48579711,Gedaref,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
666,2023-06-01,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,all,2788911,1.0,2023-06
667,2023-06-01,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,3+,542886,0.19,2023-06
668,2023-06-01,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,1,1097021,0.39,2023-06
669,2023-06-01,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,2,1149004,0.41,2023-06
670,2023-06-01,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,3,536287,0.19,2023-06
671,2023-06-01,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,4,6599,0.0,2023-06
672,2023-06-01,SDN,48579711,Gedaref,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
673,2023-06-01,SDN,48579711,Khartoum,current,2023-06-01,2023-06-30,all,7455666,1.0,2023-06
674,2023-06-01,SDN,48579711,Khartoum,current,2023-06-01,2023-06-30,3+,3364813,0.45,2023-06
675,2023-06-01,SDN,48579711,Khartoum,current,2023-06-01,2023-06-30,1,1651846,0.22,2023-06
676,2023-06-01,SDN,48579711,Khartoum,current,2023-06-01,2023-06-30,2,2439007,0.33,2023-06
677,2023-06-01,SDN,48579711,Khartoum,current,2023-06-01,2023-06-30,3,2439144,0.33,2023-06
678,2023-06-01,SDN,48579711,Khartoum,current,2023-06-01,2023-06-30,4,925669,0.12,2023-06
679,2023-06-01,SDN,48579711,Khartoum,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
680,2023-06-01,SDN,48579711,Khartoum,first projection,2023-07-01,2023-09-30,all,7455666,1.0,2023-06
681,2023-06-01,SDN,48579711,Khartoum,first projection,2023-07-01,2023-09-30,3+,4193824,0.56,2023-06
682,2023-06-01,SDN,48579711,Khartoum,first projection,2023-07-01,2023-09-30,1,1429603,0.19,2023-06
683,2023-06-01,SDN,48579711,Khartoum,first projection,2023-07-01,2023-09-30,2,1832239,0.25,2023-06
684,2023-06-01,SDN,48579711,Khartoum,first projection,2023-07-01,2023-09-30,3,2783752,0.37,2023-06
685,2023-06-01,SDN,48579711,Khartoum,first projection,2023-07-01,2023-09-30,4,1410073,0.19,2023-06
686,2023-06-01,SDN,48579711,Khartoum,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
687,2023-06-01,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,all,7455666,1.0,2023-06
688,2023-06-01,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,3+,3157629,0.42,2023-06
689,2023-06-01,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,1,1747784,0.23,2023-06
690,2023-06-01,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,2,2550253,0.34,2023-06
691,2023-06-01,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,3,2236441,0.3,2023-06
692,2023-06-01,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,4,921189,0.12,2023-06
693,2023-06-01,SDN,48579711,Khartoum,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
694,2023-06-01,SDN,48579711,North Darfur,current,2023-06-01,2023-06-30,all,2530410,1.0,2023-06
695,2023-06-01,SDN,48579711,North Darfur,current,2023-06-01,2023-06-30,3+,940616,0.37,2023-06
696,2023-06-01,SDN,48579711,North Darfur,current,2023-06-01,2023-06-30,1,636331,0.25,2023-06
697,2023-06-01,SDN,48579711,North Darfur,current,2023-06-01,2023-06-30,2,953463,0.38,2023-06
698,2023-06-01,SDN,48579711,North Darfur,current,2023-06-01,2023-06-30,3,554831,0.22,2023-06
699,2023-06-01,SDN,48579711,North Darfur,current,2023-06-01,2023-06-30,4,385785,0.15,2023-06
700,2023-06-01,SDN,48579711,North Darfur,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
701,2023-06-01,SDN,48579711,North Darfur,first projection,2023-07-01,2023-09-30,all,2530410,1.0,2023-06
702,2023-06-01,SDN,48579711,North Darfur,first projection,2023-07-01,2023-09-30,3+,1080655,0.43,2023-06
703,2023-06-01,SDN,48579711,North Darfur,first projection,2023-07-01,2023-09-30,1,519708,0.21,2023-06
704,2023-06-01,SDN,48579711,North Darfur,first projection,2023-07-01,2023-09-30,2,930047,0.37,2023-06
705,2023-06-01,SDN,48579711,North Darfur,first projection,2023-07-01,2023-09-30,3,682840,0.27,2023-06
706,2023-06-01,SDN,48579711,North Darfur,first projection,2023-07-01,2023-09-30,4,397815,0.16,2023-06
707,2023-06-01,SDN,48579711,North Darfur,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
708,2023-06-01,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,all,2530410,1.0,2023-06
709,2023-06-01,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,3+,730754,0.29,2023-06
710,2023-06-01,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,1,773509,0.31,2023-06
711,2023-06-01,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,2,1026147,0.41,2023-06
712,2023-06-01,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,3,482095,0.19,2023-06
713,2023-06-01,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,4,248658,0.1,2023-06
714,2023-06-01,SDN,48579711,North Darfur,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
715,2023-06-01,SDN,48579711,Kassala,current,2023-06-01,2023-06-30,all,2886457,1.0,2023-06
716,2023-06-01,SDN,48579711,Kassala,current,2023-06-01,2023-06-30,3+,1237523,0.43,2023-06
717,2023-06-01,SDN,48579711,Kassala,current,2023-06-01,2023-06-30,1,602104,0.21,2023-06
718,2023-06-01,SDN,48579711,Kassala,current,2023-06-01,2023-06-30,2,1046830,0.36,2023-06
719,2023-06-01,SDN,48579711,Kassala,current,2023-06-01,2023-06-30,3,1032367,0.36,2023-06
720,2023-06-01,SDN,48579711,Kassala,current,2023-06-01,2023-06-30,4,205156,0.07,2023-06
721,2023-06-01,SDN,48579711,Kassala,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
722,2023-06-01,SDN,48579711,Kassala,first projection,2023-07-01,2023-09-30,all,2886457,1.0,2023-06
723,2023-06-01,SDN,48579711,Kassala,first projection,2023-07-01,2023-09-30,3+,1418003,0.49,2023-06
724,2023-06-01,SDN,48579711,Kassala,first projection,2023-07-01,2023-09-30,1,512028,0.18,2023-06
725,2023-06-01,SDN,48579711,Kassala,first projection,2023-07-01,2023-09-30,2,956426,0.33,2023-06
726,2023-06-01,SDN,48579711,Kassala,first projection,2023-07-01,2023-09-30,3,1086699,0.38,2023-06
727,2023-06-01,SDN,48579711,Kassala,first projection,2023-07-01,2023-09-30,4,331304,0.11,2023-06
728,2023-06-01,SDN,48579711,Kassala,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
729,2023-06-01,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,all,2886457,1.0,2023-06
730,2023-06-01,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,3+,1251690,0.44,2023-06
731,2023-06-01,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,1,571891,0.2,2023-06
732,2023-06-01,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,2,1062876,0.37,2023-06
733,2023-06-01,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,3,1001623,0.35,2023-06
734,2023-06-01,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,4,250068,0.09,2023-06
735,2023-06-01,SDN,48579711,Kassala,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
736,2023-06-01,SDN,48579711,South Darfur,current,2023-06-01,2023-06-30,all,3937539,1.0,2023-06
737,2023-06-01,SDN,48579711,South Darfur,current,2023-06-01,2023-06-30,3+,1519972,0.38,2023-06
738,2023-06-01,SDN,48579711,South Darfur,current,2023-06-01,2023-06-30,1,1075902,0.27,2023-06
739,2023-06-01,SDN,48579711,South Darfur,current,2023-06-01,2023-06-30,2,1341665,0.34,2023-06
740,2023-06-01,SDN,48579711,South Darfur,current,2023-06-01,2023-06-30,3,1082321,0.27,2023-06
741,2023-06-01,SDN,48579711,South Darfur,current,2023-06-01,2023-06-30,4,437651,0.11,2023-06
742,2023-06-01,SDN,48579711,South Darfur,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
743,2023-06-01,SDN,48579711,South Darfur,first projection,2023-07-01,2023-09-30,all,3937539,1.0,2023-06
744,2023-06-01,SDN,48579711,South Darfur,first projection,2023-07-01,2023-09-30,3+,2086736,0.53,2023-06
745,2023-06-01,SDN,48579711,South Darfur,first projection,2023-07-01,2023-09-30,1,675982,0.17,2023-06
746,2023-06-01,SDN,48579711,South Darfur,first projection,2023-07-01,2023-09-30,2,1174821,0.3,2023-06
747,2023-06-01,SDN,48579711,South Darfur,first projection,2023-07-01,2023-09-30,3,1370196,0.35,2023-06
748,2023-06-01,SDN,48579711,South Darfur,first projection,2023-07-01,2023-09-30,4,716540,0.18,2023-06
749,2023-06-01,SDN,48579711,South Darfur,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
750,2023-06-01,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,all,3937539,1.0,2023-06
751,2023-06-01,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,3+,1449094,0.37,2023-06
752,2023-06-01,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,1,972670,0.25,2023-06
753,2023-06-01,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,2,1515774,0.38,2023-06
754,2023-06-01,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,3,1057516,0.27,2023-06
755,2023-06-01,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,4,391578,0.1,2023-06
756,2023-06-01,SDN,48579711,South Darfur,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
757,2023-06-01,SDN,48579711,White Nile,current,2023-06-01,2023-06-30,all,3108018,1.0,2023-06
758,2023-06-01,SDN,48579711,White Nile,current,2023-06-01,2023-06-30,3+,975605,0.32,2023-06
759,2023-06-01,SDN,48579711,White Nile,current,2023-06-01,2023-06-30,1,1002462,0.32,2023-06
760,2023-06-01,SDN,48579711,White Nile,current,2023-06-01,2023-06-30,2,1129951,0.36,2023-06
761,2023-06-01,SDN,48579711,White Nile,current,2023-06-01,2023-06-30,3,643381,0.21,2023-06
762,2023-06-01,SDN,48579711,White Nile,current,2023-06-01,2023-06-30,4,332224,0.11,2023-06
763,2023-06-01,SDN,48579711,White Nile,current,2023-06-01,2023-06-30,5,0,0.0,2023-06
764,2023-06-01,SDN,48579711,White Nile,first projection,2023-07-01,2023-09-30,all,3108018,1.0,2023-06
765,2023-06-01,SDN,48579711,White Nile,first projection,2023-07-01,2023-09-30,3+,799030,0.26,2023-06
766,2023-06-01,SDN,48579711,White Nile,first projection,2023-07-01,2023-09-30,1,995725,0.32,2023-06
767,2023-06-01,SDN,48579711,White Nile,first projection,2023-07-01,2023-09-30,2,1313264,0.42,2023-06
768,2023-06-01,SDN,48579711,White Nile,first projection,2023-07-01,2023-09-30,3,529362,0.17,2023-06
769,2023-06-01,SDN,48579711,White Nile,first projection,2023-07-01,2023-09-30,4,269667,0.09,2023-06
770,2023-06-01,SDN,48579711,White Nile,first projection,2023-07-01,2023-09-30,5,0,0.0,2023-06
771,2023-06-01,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,all,3108018,1.0,2023-06
772,2023-06-01,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,3+,618419,0.2,2023-06
773,2023-06-01,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,1,1113819,0.36,2023-06
774,2023-06-01,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,2,1375780,0.44,2023-06
775,2023-06-01,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,3,463018,0.15,2023-06
776,2023-06-01,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,4,155401,0.05,2023-06
777,2023-06-01,SDN,48579711,White Nile,second projection,2023-10-01,2024-02-29,5,0,0.0,2023-06
778,2023-06-01,SDN,48579711,North Kordofan,current,2023-06-01,2023-06-30,all,2223993,1.0,2023-06
779,2023-06-01,SDN,48579711,North Kordofan,current,2023-06-01,2023-06-30,3+,845067,0.38,2023-06
780,2023-06-01,SDN,48579711,North Kordofan,current,2023-06-01,2023-06-30,1,555111,0.25,2023-06
781,2023-06-01,SDN,48579711,North Kordofan,current,2023-06-01,2023-06-30,2,823815,0.37,2023-06
782,2023-06-01,SDN,48579711,North Kordofan,current,2023-06-01,2023-06-30,3,592800,0.27,2023-06
783,2023-06-01,SDN,48579711,North Kordofan,current,2023-06-01,2023-06-30,4,252267,0.11,2023-06
