,date_analysis,country,total_population,region,validity_period,date_from,date_to,phase,affected_number,percentage,month
51,2024-04-01,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,3+,881829,0.6,2024-04
52,2024-04-01,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,1,184661,0.13,2024-04
53,2024-04-01,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,2,403959,0.27,2024-04
54,2024-04-01,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,3,624761,0.42,2024-04
55,2024-04-01,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,4,248099,0.17,2024-04
56,2024-04-01,SDN,47208125,Blue Nile,first projection,2024-06-01,2024-09-30,5,8969,0.01,2024-04
57,2024-04-01,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,all,1470448,1.0,2024-04
58,2024-04-01,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,3+,670230,0.46,2024-04
59,2024-04-01,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,1,276288,0.19,2024-04
60,2024-04-01,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,2,523930,0.36,2024-04
61,2024-04-01,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,3,508235,0.35,2024-04
62,2024-04-01,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,4,161995,0.11,2024-04
63,2024-04-01,SDN,47208125,Blue Nile,second projection,2024-10-01,2025-02-28,5,0,0.0,2024-04
64,2024-04-01,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,all,1998753,1.0,2024-04
65,2024-04-01,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,3+,1167817,0.58,2024-04
66,2024-04-01,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,1,253069,0.13,2024-04
67,2024-04-01,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,2,577867,0.29,2024-04
68,2024-04-01,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,3,725513,0.36,2024-04
69,2024-04-01,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,4,442304,0.22,2024-04
70,2024-04-01,SDN,47208125,Central Darfur,current,2024-04-01,2024-05-31,5,0,0.0,2024-04
71,2024-04-01,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,all,1998753,1.0,2024-04
72,2024-04-01,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,3+,1349397,0.67,2024-04
73,2024-04-01,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,1,153131,0.08,2024-04
74,2024-04-01,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,2,496225,0.25,2024-04
75,2024-04-01,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,3,707218,0.35,2024-04
76,2024-04-01,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,4,542241,0.27,2024-04
77,2024-04-01,SDN,47208125,Central Darfur,first projection,2024-06-01,2024-09-30,5,99938,0.05,2024-04
78,2024-04-01,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,all,1998753,1.0,2024-04
79,2024-04-01,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,3+,1121073,0.56,2024-04
80,2024-04-01,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,1,281518,0.14,2024-04
81,2024-04-01,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,2,596162,0.3,2024-04
82,2024-04-01,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,3,674578,0.34,2024-04
83,2024-04-01,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,4,446495,0.22,2024-04
84,2024-04-01,SDN,47208125,Central Darfur,second projection,2024-10-01,2025-02-28,5,0,0.0,2024-04
85,2024-04-01,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,all,3146052,1.0,2024-04
86,2024-04-01,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,3+,966142,0.31,2024-04
87,2024-04-01,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,1,931690,0.3,2024-04
88,2024-04-01,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,2,1248220,0.4,2024-04
89,2024-04-01,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,3,872801,0.28,2024-04
90,2024-04-01,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,4,93341,0.03,2024-04
91,2024-04-01,SDN,47208125,Gedaref,current,2024-04-01,2024-05-31,5,0,0.0,2024-04
92,2024-04-01,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,all,3146052,1.0,2024-04
93,2024-04-01,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,3+,1236316,0.39,2024-04
94,2024-04-01,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,1,720225,0.23,2024-04
95,2024-04-01,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,2,1189511,0.38,2024-04
96,2024-04-01,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,3,1021366,0.32,2024-04
97,2024-04-01,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,4,214950,0.07,2024-04
98,2024-04-01,SDN,47208125,Gedaref,first projection,2024-06-01,2024-09-30,5,0,0.0,2024-04
99,2024-04-01,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,all,3146052,1.0,2024-04
100,2024-04-01,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,3+,924901,0.29,2024-04
101,2024-04-01,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,1,962981,0.31,2024-04
102,2024-04-01,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,2,1258170,0.4,2024-04
103,2024-04-01,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,3,864064,0.27,2024-04
104,2024-04-01,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,4,60837,0.02,2024-04
105,2024-04-01,SDN,47208125,Gedaref,second projection,2024-10-01,2025-02-28,5,0,0.0,2024-04
106,2024-04-01,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,all,3035321,1.0,2024-04
107,2024-04-01,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,3+,1130199,0.38,2024-04
108,2024-04-01,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,1,551399,0.18,2024-04
109,2024-04-01,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,2,1353723,0.45,2024-04
110,2024-04-01,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,3,930996,0.31,2024-04
111,2024-04-01,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,4,199203,0.07,2024-04
112,2024-04-01,SDN,47208125,Kassala,current,2024-04-01,2024-05-31,5,0,0.0,2024-04
113,2024-04-01,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,all,3035321,1.0,2024-04
114,2024-04-01,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,3+,1461501,0.48,2024-04
115,2024-04-01,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,1,399633,0.13,2024-04
116,2024-04-01,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,2,1174187,0.39,2024-04
117,2024-04-01,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,3,1060834,0.35,2024-04
118,2024-04-01,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,4,400667,0.13,2024-04
119,2024-04-01,SDN,47208125,Kassala,first projection,2024-06-01,2024-09-30,5,0,0.0,2024-04
120,2024-04-01,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,all,3035321,1.0,2024-04
121,2024-04-01,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,3+,1227467,0.4,2024-04
122,2024-04-01,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,1,570729,0.19,2024-04
123,2024-04-01,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,2,1237125,0.41,2024-04
124,2024-04-01,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,3,972724,0.32,2024-04
125,2024-04-01,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,4,254743,0.08,2024-04
126,2024-04-01,SDN,47208125,Kassala,second projection,2024-10-01,2025-02-28,5,0,0.0,2024-04
127,2024-04-01,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,all,2300592,1.0,2024-04
128,2024-04-01,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,3+,981111,0.43,2024-04
129,2024-04-01,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,1,429232,0.19,2024-04
130,2024-04-01,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,2,890249,0.39,2024-04
131,2024-04-01,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,3,633602,0.28,2024-04
132,2024-04-01,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,4,346920,0.15,2024-04
133,2024-04-01,SDN,47208125,North Kordofan,current,2024-04-01,2024-05-31,5,589,0.0,2024-04
134,2024-04-01,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,all,2300592,1.0,2024-04
135,2024-04-01,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,3+,1211170,0.53,2024-04
136,2024-04-01,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,1,314203,0.14,2024-04
137,2024-04-01,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,2,775220,0.34,2024-04
138,2024-04-01,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,3,748632,0.33,2024-04
139,2024-04-01,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,4,461949,0.2,2024-04
140,2024-04-01,SDN,47208125,North Kordofan,first projection,2024-06-01,2024-09-30,5,589,0.0,2024-04
141,2024-04-01,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,all,2300592,1.0,2024-04
142,2024-04-01,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,3+,981062,0.43,2024-04
143,2024-04-01,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,1,430065,0.19,2024-04
144,2024-04-01,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,2,889464,0.39,2024-04
145,2024-04-01,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,3,633602,0.28,2024-04
146,2024-04-01,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,4,347460,0.15,2024-04
147,2024-04-01,SDN,47208125,North Kordofan,second projection,2024-10-01,2025-02-28,5,0,0.0,2024-04
148,2024-04-01,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,all,1301489,1.0,2024-04
149,2024-04-01,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,3+,765187,0.59,2024-04
150,2024-04-01,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,1,183804,0.14,2024-04
151,2024-04-01,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,2,352498,0.27,2024-04
152,2024-04-01,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,3,455751,0.35,2024-04
153,2024-04-01,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,4,302362,0.23,2024-04
154,2024-04-01,SDN,47208125,West Darfur,current,2024-04-01,2024-05-31,5,7074,0.01,2024-04
155,2024-04-01,SDN,47208125,West Darfur,first projection,2024-06-01,2024-09-30,all,1301489,1.0,2024-04
