States of Origin,States of Displacement,IDPs,month
South Kordofan,BlueNile,1210.0,2024-08
South Kordofan,Gedaref,585.0,2024-08
South Kordofan,NorthKordofan,36723.0,2024-08
South Kordofan,Northern,4181.0,2024-08
South Kordofan,RedSea,3540.0,2024-08
South Kordofan,RiverNile,823.0,2024-08
South Kordofan,SouthDarfur,50.0,2024-08
South Kordofan,SouthKordofan,351548.0,2024-08
South Kordofan,WestDarfur,10.0,2024-08
South Kordofan,WestKordofan,10099.0,2024-08
South Kordofan,WhiteNile,5982.0,2024-08
West Darfur,BlueNile,35.0,2024-08
West Darfur,CentralDarfur,70058.0,2024-08
West Darfur,EastDarfur,25.0,2024-08
West Darfur,Gedaref,1285.0,2024-08
West Darfur,NorthDarfur,24261.0,2024-08
West Darfur,NorthKordofan,235.0,2024-08
West Darfur,RedSea,318.0,2024-08
West Darfur,RiverNile,615.0,2024-08
West Darfur,SouthDarfur,15203.0,2024-08
West Darfur,WestDarfur,275347.0,2024-08
West Darfur,WestKordofan,51.0,2024-08
West Darfur,WhiteNile,75.0,2024-08
West Kordofan,EastDarfur,5482.0,2024-08
West Kordofan,NorthDarfur,165.0,2024-08
West Kordofan,NorthKordofan,7282.0,2024-08
West Kordofan,Northern,15.0,2024-08
West Kordofan,RedSea,5.0,2024-08
West Kordofan,RiverNile,165.0,2024-08
West Kordofan,SouthKordofan,11862.0,2024-08
West Kordofan,WestKordofan,283931.0,2024-08
West Kordofan,WhiteNile,25.0,2024-08
White Nile,AjJazirah,2505.0,2024-08
White Nile,BlueNile,265.0,2024-08
White Nile,Khartoum,917.0,2024-08
White Nile,NorthKordofan,345.0,2024-08
White Nile,Northern,167.0,2024-08
White Nile,RedSea,1263.0,2024-08
White Nile,SouthDarfur,12.0,2024-08
White Nile,SouthKordofan,149.0,2024-08
White Nile,WestDarfur,25.0,2024-08
White Nile,WestKordofan,115.0,2024-08
White Nile,WhiteNile,32515.0,2024-08
Aj Jazirah,AjJazirah,160265.0,2024-09
Aj Jazirah,BlueNile,37418.0,2024-09
Aj Jazirah,EastDarfur,400.0,2024-09
Aj Jazirah,Gedaref,301341.0,2024-09
Aj Jazirah,Kassala,92111.0,2024-09
Aj Jazirah,Khartoum,2337.0,2024-09
Aj Jazirah,NorthDarfur,65.0,2024-09
Aj Jazirah,NorthKordofan,1228.0,2024-09
Aj Jazirah,Northern,21303.0,2024-09
Aj Jazirah,RedSea,65376.0,2024-09
Aj Jazirah,RiverNile,31979.0,2024-09
Aj Jazirah,Sennar,36301.0,2024-09
Aj Jazirah,SouthKordofan,3360.0,2024-09
Aj Jazirah,WestDarfur,15.0,2024-09
Aj Jazirah,WestKordofan,310.0,2024-09
Aj Jazirah,WhiteNile,62255.0,2024-09
Blue Nile,BlueNile,146313.0,2024-09
Blue Nile,Gedaref,8405.0,2024-09
Blue Nile,NorthKordofan,992.0,2024-09
Blue Nile,Northern,20.0,2024-09
Blue Nile,RedSea,175.0,2024-09
Blue Nile,RiverNile,272.0,2024-09
Blue Nile,Sennar,29428.0,2024-09
Blue Nile,SouthKordofan,422.0,2024-09
Blue Nile,WestKordofan,146.0,2024-09
Blue Nile,WhiteNile,14983.0,2024-09
Central Darfur,CentralDarfur,681890.0,2024-09
Central Darfur,EastDarfur,1450.0,2024-09
Central Darfur,Gedaref,1555.0,2024-09
Central Darfur,NorthDarfur,27160.0,2024-09
Central Darfur,NorthKordofan,756.0,2024-09
Central Darfur,RedSea,97.0,2024-09
Central Darfur,RiverNile,1282.0,2024-09
Central Darfur,SouthDarfur,15029.0,2024-09
Central Darfur,SouthKordofan,282.0,2024-09
Central Darfur,WestDarfur,15465.0,2024-09
Central Darfur,WestKordofan,519.0,2024-09
Central Darfur,WhiteNile,170.0,2024-09
East Darfur,EastDarfur,160361.0,2024-09
East Darfur,Gedaref,250.0,2024-09
East Darfur,NorthDarfur,52078.0,2024-09
East Darfur,NorthKordofan,61.0,2024-09
East Darfur,RedSea,50.0,2024-09
East Darfur,RiverNile,412.0,2024-09
East Darfur,SouthDarfur,17287.0,2024-09
East Darfur,WestDarfur,1885.0,2024-09
East Darfur,WestKordofan,14525.0,2024-09
East Darfur,WhiteNile,195.0,2024-09
Gedaref,BlueNile,155.0,2024-09
Gedaref,Gedaref,11414.0,2024-09
Gedaref,NorthKordofan,20.0,2024-09
Gedaref,RedSea,2582.0,2024-09
Kassala,Gedaref,35.0,2024-09
Kassala,Kassala,5825.0,2024-09
Kassala,Northern,75.0,2024-09
Kassala,RedSea,38.0,2024-09
Khartoum,AjJazirah,158641.0,2024-09
Khartoum,BlueNile,133605.0,2024-09
Khartoum,CentralDarfur,2770.0,2024-09
Khartoum,EastDarfur,360240.0,2024-09
Khartoum,Gedaref,517251.0,2024-09
Khartoum,Kassala,154393.0,2024-09
Khartoum,Khartoum,106527.0,2024-09
Khartoum,NorthDarfur,9265.0,2024-09
Khartoum,NorthKordofan,119481.0,2024-09
Khartoum,Northern,424125.0,2024-09
Khartoum,RedSea,133436.0,2024-09
Khartoum,RiverNile,761161.0,2024-09
Khartoum,Sennar,131486.0,2024-09
Khartoum,SouthDarfur,15788.0,2024-09
Khartoum,SouthKordofan,61897.0,2024-09
Khartoum,WestDarfur,3824.0,2024-09
Khartoum,WestKordofan,63269.0,2024-09
Khartoum,WhiteNile,520379.0,2024-09
North Darfur,BlueNile,105.0,2024-09
North Darfur,CentralDarfur,93888.0,2024-09
North Darfur,EastDarfur,33800.0,2024-09
North Darfur,Gedaref,1902.0,2024-09
North Darfur,NorthDarfur,1364725.0,2024-09
North Darfur,NorthKordofan,332.0,2024-09
North Darfur,Northern,1749.0,2024-09
North Darfur,RedSea,5790.0,2024-09
North Darfur,RiverNile,485.0,2024-09
North Darfur,SouthDarfur,25345.0,2024-09
North Darfur,SouthKordofan,5.0,2024-09
North Darfur,WestDarfur,3651.0,2024-09
North Darfur,WestKordofan,4950.0,2024-09
North Darfur,WhiteNile,711.0,2024-09
North Kordofan,BlueNile,445.0,2024-09
North Kordofan,CentralDarfur,23.0,2024-09
North Kordofan,EastDarfur,4420.0,2024-09
North Kordofan,Gedaref,355.0,2024-09
North Kordofan,NorthDarfur,425.0,2024-09
North Kordofan,NorthKordofan,26266.0,2024-09
North Kordofan,Northern,756.0,2024-09
North Kordofan,RedSea,6983.0,2024-09
North Kordofan,RiverNile,1240.0,2024-09
North Kordofan,SouthKordofan,17404.0,2024-09
North Kordofan,WestDarfur,5.0,2024-09
North Kordofan,WestKordofan,13459.0,2024-09
North Kordofan,WhiteNile,7607.0,2024-09
Northern,Northern,11786.0,2024-09
Northern,RedSea,20.0,2024-09
Red Sea,NorthKordofan,10.0,2024-09
Red Sea,RedSea,36287.0,2024-09
River Nile,BlueNile,65.0,2024-09
River Nile,RedSea,240.0,2024-09
River Nile,RiverNile,17856.0,2024-09
Sennar,AjJazirah,785.0,2024-09
Sennar,BlueNile,82314.0,2024-09
Sennar,Gedaref,111970.0,2024-09
Sennar,Kassala,14192.0,2024-09
Sennar,Khartoum,160.0,2024-09
Sennar,NorthKordofan,235.0,2024-09
Sennar,Northern,4259.0,2024-09
Sennar,RedSea,16213.0,2024-09
Sennar,RiverNile,15444.0,2024-09
Sennar,Sennar,12069.0,2024-09
Sennar,SouthKordofan,345.0,2024-09
Sennar,WestDarfur,25.0,2024-09
Sennar,WhiteNile,5605.0,2024-09
South Darfur,BlueNile,585.0,2024-09
South Darfur,CentralDarfur,37703.0,2024-09
South Darfur,EastDarfur,215545.0,2024-09
South Darfur,Gedaref,830.0,2024-09
South Darfur,NorthDarfur,68353.0,2024-09
South Darfur,NorthKordofan,619.0,2024-09
South Darfur,Northern,59.0,2024-09
South Darfur,RedSea,3552.0,2024-09
South Darfur,RiverNile,880.0,2024-09
South Darfur,SouthDarfur,1740866.0,2024-09
South Darfur,SouthKordofan,265.0,2024-09
South Darfur,WestDarfur,9365.0,2024-09
South Darfur,WestKordofan,1057.0,2024-09
South Darfur,WhiteNile,2801.0,2024-09
South Kordofan,BlueNile,1210.0,2024-09
South Kordofan,Gedaref,585.0,2024-09
South Kordofan,NorthKordofan,37163.0,2024-09
South Kordofan,Northern,4181.0,2024-09
South Kordofan,RedSea,3455.0,2024-09
South Kordofan,RiverNile,823.0,2024-09
South Kordofan,SouthDarfur,50.0,2024-09
South Kordofan,SouthKordofan,351858.0,2024-09
South Kordofan,WestDarfur,10.0,2024-09
South Kordofan,WestKordofan,10627.0,2024-09
South Kordofan,WhiteNile,6012.0,2024-09
West Darfur,BlueNile,235.0,2024-09
West Darfur,CentralDarfur,70058.0,2024-09
West Darfur,EastDarfur,25.0,2024-09
West Darfur,Gedaref,1285.0,2024-09
West Darfur,NorthDarfur,24261.0,2024-09
West Darfur,NorthKordofan,235.0,2024-09
West Darfur,RedSea,328.0,2024-09
West Darfur,RiverNile,620.0,2024-09
West Darfur,SouthDarfur,15203.0,2024-09
West Darfur,WestDarfur,275397.0,2024-09
West Darfur,WestKordofan,51.0,2024-09
West Darfur,WhiteNile,75.0,2024-09
West Kordofan,EastDarfur,5482.0,2024-09
West Kordofan,NorthDarfur,165.0,2024-09
West Kordofan,NorthKordofan,7282.0,2024-09
West Kordofan,Northern,15.0,2024-09
West Kordofan,RedSea,30.0,2024-09
West Kordofan,RiverNile,165.0,2024-09
West Kordofan,SouthKordofan,11862.0,2024-09
West Kordofan,WestKordofan,282361.0,2024-09
West Kordofan,WhiteNile,25.0,2024-09
White Nile,AjJazirah,2832.0,2024-09
White Nile,BlueNile,265.0,2024-09
White Nile,Khartoum,883.0,2024-09
White Nile,NorthKordofan,345.0,2024-09
White Nile,Northern,225.0,2024-09
White Nile,RedSea,1308.0,2024-09
White Nile,RiverNile,85.0,2024-09
White Nile,SouthDarfur,12.0,2024-09
White Nile,SouthKordofan,149.0,2024-09
White Nile,WestDarfur,25.0,2024-09
White Nile,WestKordofan,125.0,2024-09
White Nile,WhiteNile,36487.0,2024-09
