States of Displacement,States of Origin,IDPs
AjJazirah,Aj Jazirah,192181.0
BlueNile,Aj Jazirah,10847.0
Gedaref,Aj Jazirah,56335.0
Kassala,Aj Jazirah,21395.0
Khartoum,Aj Jazirah,145.0
NorthKordofan,Aj Jazirah,1373.0
Northern,Aj Jazirah,10865.0
RedSea,Aj Jazirah,59051.0
RiverNile,Aj Jazirah,16132.0
Sennar,Aj Jazirah,78888.0
SouthKordofan,Aj Jazirah,2072.0
WhiteNile,Aj Jazirah,20928.0
CentralDarfur,Central Darfur,230540.0
NorthDarfur,Central Darfur,7900.0
RedSea,Central Darfur,242.0
RiverNile,Central Darfur,65.0
SouthDarfur,Central Darfur,7365.0
WestDarfur,Central Darfur,3450.0
EastDarfur,East Darfur,73335.0
NorthDarfur,East Darfur,30.0
WestDarfur,East Darfur,165.0
WestKordofan,East Darfur,5.0
AjJazirah,Khartoum,196468.0
BlueNile,Khartoum,120627.0
CentralDarfur,Khartoum,1205.0
EastDarfur,Khartoum,358630.0
Gedaref,Khartoum,321078.0
Kassala,Khartoum,144833.0
Khartoum,Khartoum,44624.0
NorthDarfur,Khartoum,8725.0
NorthKordofan,Khartoum,123637.0
Northern,Khartoum,391507.0
RedSea,Khartoum,160317.0
RiverNile,Khartoum,684540.0
Sennar,Khartoum,342985.0
SouthDarfur,Khartoum,16150.0
SouthKordofan,Khartoum,65824.0
WestDarfur,Khartoum,1899.0
WestKordofan,Khartoum,66199.0
WhiteNile,Khartoum,476131.0
CentralDarfur,North Darfur,70785.0
EastDarfur,North Darfur,14600.0
Gedaref,North Darfur,175.0
NorthDarfur,North Darfur,396261.0
RedSea,North Darfur,4972.0
RiverNile,North Darfur,50.0
SouthDarfur,North Darfur,10145.0
WestDarfur,North Darfur,311.0
WestKordofan,North Darfur,844.0
EastDarfur,North Kordofan,3910.0
NorthDarfur,North Kordofan,275.0
NorthKordofan,North Kordofan,18805.0
RedSea,North Kordofan,4960.0
RiverNile,North Kordofan,25.0
SouthKordofan,North Kordofan,4700.0
WestKordofan,North Kordofan,9769.0
WhiteNile,North Kordofan,246.0
NorthKordofan,Sennar,210.0
Northern,Sennar,303.0
RedSea,Sennar,1955.0
RiverNile,Sennar,15.0
Sennar,Sennar,12754.0
WhiteNile,Sennar,55.0
CentralDarfur,South Darfur,16655.0
EastDarfur,South Darfur,210105.0
Gedaref,South Darfur,55.0
NorthDarfur,South Darfur,34057.0
RedSea,South Darfur,3223.0
SouthDarfur,South Darfur,664858.0
WestDarfur,South Darfur,6895.0
WestKordofan,South Darfur,586.0
NorthKordofan,South Kordofan,2580.0
RedSea,South Kordofan,3210.0
SouthKordofan,South Kordofan,54932.0
WestKordofan,South Kordofan,2413.0
CentralDarfur,West Darfur,54750.0
NorthDarfur,West Darfur,12940.0
RedSea,West Darfur,377.0
SouthDarfur,West Darfur,4600.0
WestDarfur,West Darfur,115820.0
WestKordofan,West Darfur,10.0
EastDarfur,West Kordofan,250.0
NorthKordofan,West Kordofan,365.0
WestKordofan,West Kordofan,21204.0
AjJazirah,White Nile,1232.0
NorthKordofan,White Nile,125.0
RedSea,White Nile,720.0
SouthKordofan,White Nile,109.0
WhiteNile,White Nile,5904.0
