States of Displacement,States of Origin,IDPs
AjJazirah,Aj Jazirah,183836.0
BlueNile,Aj Jazirah,40641.0
EastDarfur,Aj Jazirah,400.0
Gedaref,Aj Jazirah,243940.0
Kassala,Aj Jazirah,89046.0
Khartoum,Aj Jazirah,1860.0
NorthDarfur,Aj Jazirah,65.0
NorthKordofan,Aj Jazirah,1248.0
Northern,Aj Jazirah,12266.0
RedSea,Aj Jazirah,66182.0
RiverNile,Aj Jazirah,13461.0
Sennar,Aj Jazirah,106362.0
SouthKordofan,Aj Jazirah,2985.0
WestKordofan,Aj Jazirah,70.0
WhiteNile,Aj Jazirah,61799.0
BlueNile,Blue Nile,142727.0
Gedaref,Blue Nile,8405.0
NorthKordofan,Blue Nile,992.0
RedSea,Blue Nile,95.0
Sennar,Blue Nile,53656.0
SouthKordofan,Blue Nile,422.0
WestKordofan,Blue Nile,146.0
WhiteNile,Blue Nile,15193.0
CentralDarfur,Central Darfur,674886.0
EastDarfur,Central Darfur,450.0
Gedaref,Central Darfur,1555.0
NorthDarfur,Central Darfur,27140.0
NorthKordofan,Central Darfur,756.0
RedSea,Central Darfur,140.0
RiverNile,Central Darfur,962.0
SouthDarfur,Central Darfur,15029.0
SouthKordofan,Central Darfur,282.0
WestDarfur,Central Darfur,15420.0
WestKordofan,Central Darfur,519.0
WhiteNile,Central Darfur,170.0
EastDarfur,East Darfur,157861.0
Gedaref,East Darfur,250.0
NorthDarfur,East Darfur,52078.0
NorthKordofan,East Darfur,61.0
RiverNile,East Darfur,119.0
SouthDarfur,East Darfur,17287.0
WestDarfur,East Darfur,1885.0
WestKordofan,East Darfur,14525.0
WhiteNile,East Darfur,195.0
BlueNile,Gedaref,130.0
Gedaref,Gedaref,10461.0
RedSea,Gedaref,2093.0
BlueNile,Kassala,325.0
Gedaref,Kassala,35.0
Kassala,Kassala,2500.0
RedSea,Kassala,106.0
AjJazirah,Khartoum,195384.0
BlueNile,Khartoum,127187.0
CentralDarfur,Khartoum,2770.0
EastDarfur,Khartoum,360240.0
Gedaref,Khartoum,397363.0
Kassala,Khartoum,150033.0
Khartoum,Khartoum,115126.0
NorthDarfur,Khartoum,9265.0
NorthKordofan,Khartoum,120536.0
Northern,Khartoum,380366.0
RedSea,Khartoum,155335.0
RiverNile,Khartoum,749135.0
Sennar,Khartoum,324350.0
SouthDarfur,Khartoum,15788.0
SouthKordofan,Khartoum,62212.0
WestDarfur,Khartoum,3709.0
WestKordofan,Khartoum,61965.0
WhiteNile,Khartoum,522682.0
BlueNile,North Darfur,5.0
CentralDarfur,North Darfur,87123.0
EastDarfur,North Darfur,24740.0
Gedaref,North Darfur,1902.0
NorthDarfur,North Darfur,1315412.0
NorthKordofan,North Darfur,332.0
Northern,North Darfur,1300.0
RedSea,North Darfur,5406.0
RiverNile,North Darfur,948.0
SouthDarfur,North Darfur,23200.0
WestDarfur,North Darfur,3221.0
WestKordofan,North Darfur,4785.0
WhiteNile,North Darfur,751.0
BlueNile,North Kordofan,370.0
CentralDarfur,North Kordofan,23.0
EastDarfur,North Kordofan,4420.0
Gedaref,North Kordofan,355.0
NorthDarfur,North Kordofan,425.0
NorthKordofan,North Kordofan,27303.0
RedSea,North Kordofan,6120.0
RiverNile,North Kordofan,839.0
SouthKordofan,North Kordofan,14560.0
WestKordofan,North Kordofan,12886.0
WhiteNile,North Kordofan,5366.0
RedSea,Red Sea,15025.0
RedSea,River Nile,115.0
RiverNile,River Nile,3484.0
AjJazirah,Sennar,120.0
BlueNile,Sennar,2451.0
Gedaref,Sennar,1689.0
Kassala,Sennar,975.0
Khartoum,Sennar,110.0
NorthKordofan,Sennar,235.0
Northern,Sennar,643.0
RedSea,Sennar,2697.0
Sennar,Sennar,50442.0
SouthKordofan,Sennar,330.0
WestDarfur,Sennar,25.0
WhiteNile,Sennar,1653.0
BlueNile,South Darfur,625.0
CentralDarfur,South Darfur,37703.0
EastDarfur,South Darfur,212670.0
Gedaref,South Darfur,830.0
NorthDarfur,South Darfur,68253.0
NorthKordofan,South Darfur,614.0
RedSea,South Darfur,3508.0
RiverNile,South Darfur,695.0
SouthDarfur,South Darfur,1739271.0
SouthKordofan,South Darfur,255.0
WestDarfur,South Darfur,9250.0
WestKordofan,South Darfur,1077.0
WhiteNile,South Darfur,2829.0
BlueNile,South Kordofan,1135.0
Gedaref,South Kordofan,585.0
NorthKordofan,South Kordofan,36668.0
Northern,South Kordofan,4171.0
RedSea,South Kordofan,3285.0
RiverNile,South Kordofan,723.0
SouthDarfur,South Kordofan,50.0
SouthKordofan,South Kordofan,350101.0
WestKordofan,South Kordofan,10054.0
WhiteNile,South Kordofan,5943.0
CentralDarfur,West Darfur,70058.0
EastDarfur,West Darfur,25.0
Gedaref,West Darfur,1285.0
NorthDarfur,West Darfur,24261.0
NorthKordofan,West Darfur,235.0
RedSea,West Darfur,350.0
RiverNile,West Darfur,30.0
SouthDarfur,West Darfur,14433.0
WestDarfur,West Darfur,261332.0
WestKordofan,West Darfur,51.0
WhiteNile,West Darfur,75.0
EastDarfur,West Kordofan,5482.0
NorthDarfur,West Kordofan,165.0
NorthKordofan,West Kordofan,7402.0
SouthKordofan,West Kordofan,11747.0
WestKordofan,West Kordofan,248856.0
WhiteNile,West Kordofan,25.0
AjJazirah,White Nile,2157.0
BlueNile,White Nile,245.0
Khartoum,White Nile,603.0
NorthKordofan,White Nile,345.0
Northern,White Nile,105.0
RedSea,White Nile,1017.0
SouthDarfur,White Nile,12.0
SouthKordofan,White Nile,149.0
WestDarfur,White Nile,25.0
WestKordofan,White Nile,115.0
WhiteNile,White Nile,35447.0
