States of Displacement,States of Origin,IDPs
AjJazirah,Aj Jazirah,425.0
CentralDarfur,Central Darfur,215530.0
NorthDarfur,Central Darfur,7890.0
SouthDarfur,Central Darfur,7365.0
WestDarfur,Central Darfur,2550.0
EastDarfur,East Darfur,63500.0
WestDarfur,East Darfur,160.0
AjJazirah,Khartoum,445140.0
BlueNile,Khartoum,56682.0
CentralDarfur,Khartoum,1205.0
EastDarfur,Khartoum,358480.0
Gedaref,Khartoum,275286.0
Kassala,Khartoum,115857.0
Khartoum,Khartoum,41538.0
NorthDarfur,Khartoum,8555.0
NorthKordofan,Khartoum,106328.0
Northern,Khartoum,353203.0
RedSea,Khartoum,129785.0
RiverNile,Khartoum,611892.0
Sennar,Khartoum,348979.0
SouthDarfur,Khartoum,15625.0
SouthKordofan,Khartoum,66687.0
WestDarfur,Khartoum,999.0
WestKordofan,Khartoum,62148.0
WhiteNile,Khartoum,430547.0
CentralDarfur,North Darfur,70785.0
EastDarfur,North Darfur,8640.0
NorthDarfur,North Darfur,367836.0
SouthDarfur,North Darfur,10080.0
WestDarfur,North Darfur,286.0
WestKordofan,North Darfur,748.0
EastDarfur,North Kordofan,3910.0
NorthDarfur,North Kordofan,105.0
NorthKordofan,North Kordofan,12328.0
SouthKordofan,North Kordofan,3509.0
WestKordofan,North Kordofan,8437.0
CentralDarfur,South Darfur,12525.0
EastDarfur,South Darfur,167925.0
NorthDarfur,South Darfur,33207.0
SouthDarfur,South Darfur,643103.0
WestDarfur,South Darfur,700.0
WestKordofan,South Darfur,366.0
NorthKordofan,South Kordofan,1078.0
SouthKordofan,South Kordofan,31775.0
WestKordofan,South Kordofan,2413.0
CentralDarfur,West Darfur,54750.0
NorthDarfur,West Darfur,12455.0
SouthDarfur,West Darfur,4350.0
WestDarfur,West Darfur,115945.0
WestKordofan,West Darfur,10.0
