States of Displacement,States of Origin,IDPs
AjJazirah,Aj Jazirah,165460.0
BlueNile,Aj Jazirah,10000.0
Gedaref,Aj Jazirah,31551.0
Kassala,Aj Jazirah,10000.0
Northern,Aj Jazirah,8000.0
RedSea,Aj Jazirah,10035.0
RiverNile,Aj Jazirah,7000.0
Sennar,Aj Jazirah,20000.0
WhiteNile,Aj Jazirah,13750.0
CentralDarfur,Central Darfur,217540.0
NorthDarfur,Central Darfur,7900.0
SouthDarfur,Central Darfur,7365.0
WestDarfur,Central Darfur,3150.0
EastDarfur,East Darfur,73110.0
NorthDarfur,East Darfur,30.0
WestDarfur,East Darfur,160.0
WestKordofan,East Darfur,5.0
AjJazirah,Khartoum,337584.0
BlueNile,Khartoum,76230.0
CentralDarfur,Khartoum,1205.0
EastDarfur,Khartoum,358480.0
Gedaref,Khartoum,320416.0
Kassala,Khartoum,140307.0
Khartoum,Khartoum,39503.0
NorthDarfur,Khartoum,8630.0
NorthKordofan,Khartoum,119400.0
Northern,Khartoum,370626.0
RedSea,Khartoum,157915.0
RiverNile,Khartoum,638644.0
Sennar,Khartoum,388689.0
SouthDarfur,Khartoum,15625.0
SouthKordofan,Khartoum,66967.0
WestDarfur,Khartoum,1599.0
WestKordofan,Khartoum,64822.0
WhiteNile,Khartoum,462206.0
CentralDarfur,North Darfur,70785.0
EastDarfur,North Darfur,13900.0
Gedaref,North Darfur,75.0
NorthDarfur,North Darfur,391706.0
RedSea,North Darfur,4440.0
SouthDarfur,North Darfur,10080.0
WestDarfur,North Darfur,311.0
WestKordofan,North Darfur,823.0
EastDarfur,North Kordofan,3910.0
NorthDarfur,North Kordofan,180.0
NorthKordofan,North Kordofan,14280.0
RedSea,North Kordofan,4405.0
SouthKordofan,North Kordofan,3785.0
WestKordofan,North Kordofan,9522.0
CentralDarfur,South Darfur,16105.0
EastDarfur,South Darfur,209180.0
Gedaref,South Darfur,55.0
NorthDarfur,South Darfur,33347.0
RedSea,South Darfur,2653.0
SouthDarfur,South Darfur,657173.0
WestDarfur,South Darfur,3770.0
WestKordofan,South Darfur,496.0
NorthKordofan,South Kordofan,1770.0
RedSea,South Kordofan,2725.0
SouthKordofan,South Kordofan,36818.0
WestKordofan,South Kordofan,2413.0
CentralDarfur,West Darfur,54750.0
NorthDarfur,West Darfur,12455.0
RedSea,West Darfur,65.0
SouthDarfur,West Darfur,4350.0
WestDarfur,West Darfur,114845.0
WestKordofan,West Darfur,10.0
EastDarfur,West Kordofan,250.0
NorthKordofan,West Kordofan,215.0
WestKordofan,West Kordofan,18784.0
AjJazirah,White Nile,1232.0
NorthKordofan,White Nile,125.0
WhiteNile,White Nile,1085.0
