States of Displacement,States of Origin,IDPs
AjJazirah,Aj Jazirah,149076.0
BlueNile,Aj Jazirah,11507.0
Gedaref,Aj Jazirah,72288.0
Kassala,Aj Jazirah,33455.0
Khartoum,Aj Jazirah,145.0
NorthDarfur,Aj Jazirah,65.0
NorthKordofan,Aj Jazirah,1628.0
Northern,Aj Jazirah,7993.0
RedSea,Aj Jazirah,64018.0
RiverNile,Aj Jazirah,16876.0
Sennar,Aj Jazirah,80996.0
SouthKordofan,Aj Jazirah,2795.0
WhiteNile,Aj Jazirah,21324.0
CentralDarfur,Central Darfur,267595.0
NorthDarfur,Central Darfur,7940.0
RedSea,Central Darfur,242.0
RiverNile,Central Darfur,65.0
SouthDarfur,Central Darfur,9365.0
WestDarfur,Central Darfur,3455.0
EastDarfur,East Darfur,73485.0
NorthDarfur,East Darfur,103.0
WestDarfur,East Darfur,165.0
WestKordofan,East Darfur,5.0
AjJazirah,Khartoum,197141.0
BlueNile,Khartoum,122318.0
CentralDarfur,Khartoum,2705.0
EastDarfur,Khartoum,358630.0
Gedaref,Khartoum,333355.0
Kassala,Khartoum,146538.0
Khartoum,Khartoum,46378.0
NorthDarfur,Khartoum,8886.0
NorthKordofan,Khartoum,123816.0
Northern,Khartoum,394724.0
RedSea,Khartoum,164807.0
RiverNile,Khartoum,694457.0
Sennar,Khartoum,340585.0
SouthDarfur,Khartoum,16650.0
SouthKordofan,Khartoum,65450.0
WestDarfur,Khartoum,1899.0
WestKordofan,Khartoum,61358.0
WhiteNile,Khartoum,477797.0
CentralDarfur,North Darfur,73135.0
EastDarfur,North Darfur,14600.0
Gedaref,North Darfur,175.0
NorthDarfur,North Darfur,404806.0
RedSea,North Darfur,5097.0
RiverNile,North Darfur,50.0
SouthDarfur,North Darfur,12350.0
WestDarfur,North Darfur,311.0
WestKordofan,North Darfur,844.0
BlueNile,North Kordofan,35.0
EastDarfur,North Kordofan,3910.0
NorthDarfur,North Kordofan,425.0
NorthKordofan,North Kordofan,19440.0
RedSea,North Kordofan,5413.0
RiverNile,North Kordofan,25.0
SouthKordofan,North Kordofan,5035.0
WestKordofan,North Kordofan,10081.0
WhiteNile,North Kordofan,271.0
BlueNile,Sennar,30.0
NorthKordofan,Sennar,210.0
Northern,Sennar,303.0
RedSea,Sennar,2173.0
RiverNile,Sennar,15.0
Sennar,Sennar,13126.0
SouthKordofan,Sennar,90.0
WhiteNile,Sennar,55.0
BlueNile,South Darfur,120.0
CentralDarfur,South Darfur,18955.0
EastDarfur,South Darfur,210105.0
Gedaref,South Darfur,55.0
NorthDarfur,South Darfur,35187.0
RedSea,South Darfur,3308.0
SouthDarfur,South Darfur,697828.0
WestDarfur,South Darfur,7950.0
WestKordofan,South Darfur,250.0
NorthKordofan,South Kordofan,2860.0
RedSea,South Kordofan,3270.0
SouthKordofan,South Kordofan,87679.0
WestKordofan,South Kordofan,5523.0
CentralDarfur,West Darfur,57950.0
NorthDarfur,West Darfur,12945.0
RedSea,West Darfur,377.0
SouthDarfur,West Darfur,4600.0
WestDarfur,West Darfur,155215.0
EastDarfur,West Kordofan,800.0
NorthDarfur,West Kordofan,110.0
NorthKordofan,West Kordofan,365.0
SouthKordofan,West Kordofan,10.0
WestKordofan,West Kordofan,58639.0
AjJazirah,White Nile,1232.0
NorthKordofan,White Nile,125.0
RedSea,White Nile,850.0
SouthKordofan,White Nile,119.0
WhiteNile,White Nile,5904.0
