States of Displacement,States of Origin,IDPs
AjJazirah,Aj Jazirah,425.0
CentralDarfur,Central Darfur,166410.0
NorthDarfur,Central Darfur,5260.0
WestDarfur,Central Darfur,2200.0
AjJazirah,Khartoum,298249.0
BlueNile,Khartoum,52794.0
EastDarfur,Khartoum,358480.0
Gedaref,Khartoum,252824.0
Kassala,Khartoum,102777.0
Khartoum,Khartoum,60100.0
NorthDarfur,Khartoum,7425.0
NorthKordofan,Khartoum,79482.0
Northern,Khartoum,364378.0
RedSea,Khartoum,108420.0
RiverNile,Khartoum,512755.0
Sennar,Khartoum,327091.0
SouthDarfur,Khartoum,550.0
SouthKordofan,Khartoum,59934.0
WestDarfur,Khartoum,350.0
WestKordofan,Khartoum,39831.0
WhiteNile,Khartoum,286201.0
CentralDarfur,North Darfur,67785.0
EastDarfur,North Darfur,7815.0
NorthDarfur,North Darfur,284783.0
WestKordofan,North Darfur,865.0
EastDarfur,North Kordofan,3910.0
NorthKordofan,North Kordofan,9976.0
SouthKordofan,North Kordofan,2136.0
WestKordofan,North Kordofan,3451.0
WhiteNile,North Kordofan,37.0
CentralDarfur,South Darfur,2150.0
EastDarfur,South Darfur,130310.0
NorthDarfur,South Darfur,19942.0
SouthDarfur,South Darfur,489428.0
WestDarfur,South Darfur,325.0
WestKordofan,South Darfur,70.0
NorthKordofan,South Kordofan,710.0
SouthKordofan,South Kordofan,22829.0
WestKordofan,South Kordofan,2004.0
CentralDarfur,West Darfur,50750.0
NorthDarfur,West Darfur,12235.0
SouthDarfur,West Darfur,175.0
WestDarfur,West Darfur,97460.0
WestKordofan,West Darfur,10.0
