States of Displacement,States of Origin,IDPs
SouthKordofan,West Kordofan,11862.0
WestKordofan,West Kordofan,283931.0
WhiteNile,West Kordofan,25.0
AjJazirah,White Nile,2505.0
BlueNile,White Nile,265.0
Khartoum,White Nile,917.0
NorthKordofan,White Nile,345.0
Northern,White Nile,167.0
RedSea,White Nile,1263.0
SouthDarfur,White Nile,12.0
SouthKordofan,White Nile,149.0
WestDarfur,White Nile,25.0
WestKordofan,White Nile,115.0
WhiteNile,White Nile,32515.0
