States of Displacement,States of Origin,IDPs
AjJazirah,Aj Jazirah,160265.0
BlueNile,Aj Jazirah,37418.0
EastDarfur,Aj Jazirah,400.0
Gedaref,Aj Jazirah,301341.0
Kassala,Aj Jazirah,92111.0
Khartoum,Aj Jazirah,2337.0
NorthDarfur,Aj Jazirah,65.0
NorthKordofan,Aj Jazirah,1228.0
Northern,Aj Jazirah,21303.0
RedSea,Aj Jazirah,65376.0
RiverNile,Aj Jazirah,31979.0
Sennar,Aj Jazirah,36301.0
SouthKordofan,Aj Jazirah,3360.0
WestDarfur,Aj Jazirah,15.0
WestKordofan,Aj Jazirah,310.0
WhiteNile,Aj Jazirah,62255.0
BlueNile,Blue Nile,146313.0
Gedaref,Blue Nile,8405.0
NorthKordofan,Blue Nile,992.0
Northern,Blue Nile,20.0
RedSea,Blue Nile,175.0
RiverNile,Blue Nile,272.0
Sennar,Blue Nile,29428.0
SouthKordofan,Blue Nile,422.0
WestKordofan,Blue Nile,146.0
WhiteNile,Blue Nile,14983.0
CentralDarfur,Central Darfur,681890.0
EastDarfur,Central Darfur,1450.0
Gedaref,Central Darfur,1555.0
NorthDarfur,Central Darfur,27160.0
NorthKordofan,Central Darfur,756.0
RedSea,Central Darfur,97.0
RiverNile,Central Darfur,1282.0
SouthDarfur,Central Darfur,15029.0
SouthKordofan,Central Darfur,282.0
WestDarfur,Central Darfur,15465.0
WestKordofan,Central Darfur,519.0
WhiteNile,Central Darfur,170.0
EastDarfur,East Darfur,160361.0
Gedaref,East Darfur,250.0
NorthDarfur,East Darfur,52078.0
NorthKordofan,East Darfur,61.0
RedSea,East Darfur,50.0
RiverNile,East Darfur,412.0
SouthDarfur,East Darfur,17287.0
WestDarfur,East Darfur,1885.0
WestKordofan,East Darfur,14525.0
WhiteNile,East Darfur,195.0
BlueNile,Gedaref,155.0
Gedaref,Gedaref,11414.0
NorthKordofan,Gedaref,20.0
RedSea,Gedaref,2582.0
Gedaref,Kassala,35.0
Kassala,Kassala,5825.0
Northern,Kassala,75.0
RedSea,Kassala,38.0
AjJazirah,Khartoum,158641.0
BlueNile,Khartoum,133605.0
CentralDarfur,Khartoum,2770.0
EastDarfur,Khartoum,360240.0
Gedaref,Khartoum,517251.0
Kassala,Khartoum,154393.0
Khartoum,Khartoum,106527.0
NorthDarfur,Khartoum,9265.0
NorthKordofan,Khartoum,119481.0
Northern,Khartoum,424125.0
RedSea,Khartoum,133436.0
RiverNile,Khartoum,761161.0
Sennar,Khartoum,131486.0
SouthDarfur,Khartoum,15788.0
SouthKordofan,Khartoum,61897.0
WestDarfur,Khartoum,3824.0
WestKordofan,Khartoum,63269.0
WhiteNile,Khartoum,520379.0
BlueNile,North Darfur,105.0
CentralDarfur,North Darfur,93888.0
EastDarfur,North Darfur,33800.0
Gedaref,North Darfur,1902.0
NorthDarfur,North Darfur,1364725.0
NorthKordofan,North Darfur,332.0
Northern,North Darfur,1749.0
RedSea,North Darfur,5790.0
RiverNile,North Darfur,485.0
SouthDarfur,North Darfur,25345.0
SouthKordofan,North Darfur,5.0
WestDarfur,North Darfur,3651.0
WestKordofan,North Darfur,4950.0
WhiteNile,North Darfur,711.0
BlueNile,North Kordofan,445.0
CentralDarfur,North Kordofan,23.0
EastDarfur,North Kordofan,4420.0
Gedaref,North Kordofan,355.0
NorthDarfur,North Kordofan,425.0
NorthKordofan,North Kordofan,26266.0
Northern,North Kordofan,756.0
RedSea,North Kordofan,6983.0
RiverNile,North Kordofan,1240.0
SouthKordofan,North Kordofan,17404.0
WestDarfur,North Kordofan,5.0
WestKordofan,North Kordofan,13459.0
WhiteNile,North Kordofan,7607.0
Northern,Northern,11786.0
RedSea,Northern,20.0
NorthKordofan,Red Sea,10.0
RedSea,Red Sea,36287.0
BlueNile,River Nile,65.0
RedSea,River Nile,240.0
RiverNile,River Nile,17856.0
AjJazirah,Sennar,785.0
BlueNile,Sennar,82314.0
Gedaref,Sennar,111970.0
Kassala,Sennar,14192.0
Khartoum,Sennar,160.0
NorthKordofan,Sennar,235.0
Northern,Sennar,4259.0
