States of Displacement,States of Origin,IDPs
AjJazirah,Aj Jazirah,157346.0
BlueNile,Aj Jazirah,11476.0
Gedaref,Aj Jazirah,88699.0
Kassala,Aj Jazirah,47276.0
Khartoum,Aj Jazirah,1425.0
NorthDarfur,Aj Jazirah,65.0
NorthKordofan,Aj Jazirah,1673.0
Northern,Aj Jazirah,9370.0
RedSea,Aj Jazirah,63631.0
RiverNile,Aj Jazirah,17114.0
Sennar,Aj Jazirah,103767.0
SouthKordofan,Aj Jazirah,2875.0
WhiteNile,Aj Jazirah,50865.0
CentralDarfur,Central Darfur,271285.0
NorthDarfur,Central Darfur,7940.0
RedSea,Central Darfur,146.0
RiverNile,Central Darfur,65.0
SouthDarfur,Central Darfur,9365.0
WestDarfur,Central Darfur,3520.0
EastDarfur,East Darfur,75335.0
NorthDarfur,East Darfur,208.0
WestDarfur,East Darfur,1685.0
WestKordofan,East Darfur,5.0
AjJazirah,Khartoum,196778.0
BlueNile,Khartoum,121375.0
CentralDarfur,Khartoum,2755.0
EastDarfur,Khartoum,358630.0
Gedaref,Khartoum,338270.0
Kassala,Khartoum,146433.0
Khartoum,Khartoum,52930.0
NorthDarfur,Khartoum,8901.0
NorthKordofan,Khartoum,122675.0
Northern,Khartoum,394987.0
RedSea,Khartoum,162661.0
RiverNile,Khartoum,689530.0
Sennar,Khartoum,353462.0
SouthDarfur,Khartoum,16650.0
SouthKordofan,Khartoum,65246.0
WestDarfur,Khartoum,2614.0
WestKordofan,Khartoum,61370.0
WhiteNile,Khartoum,467802.0
BlueNile,North Darfur,5.0
CentralDarfur,North Darfur,73135.0
EastDarfur,North Darfur,14600.0
Gedaref,North Darfur,1557.0
NorthDarfur,North Darfur,466040.0
RedSea,North Darfur,5091.0
RiverNile,North Darfur,157.0
SouthDarfur,North Darfur,12350.0
WestDarfur,North Darfur,311.0
WestKordofan,North Darfur,845.0
BlueNile,North Kordofan,35.0
EastDarfur,North Kordofan,3910.0
Gedaref,North Kordofan,350.0
NorthDarfur,North Kordofan,425.0
NorthKordofan,North Kordofan,22559.0
RedSea,North Kordofan,5393.0
RiverNile,North Kordofan,25.0
SouthKordofan,North Kordofan,5125.0
WestKordofan,North Kordofan,10599.0
WhiteNile,North Kordofan,269.0
BlueNile,Sennar,595.0
NorthKordofan,Sennar,235.0
Northern,Sennar,303.0
RedSea,Sennar,2256.0
RiverNile,Sennar,15.0
Sennar,Sennar,38858.0
SouthKordofan,Sennar,105.0
WhiteNile,Sennar,55.0
BlueNile,South Darfur,135.0
CentralDarfur,South Darfur,19355.0
EastDarfur,South Darfur,210105.0
Gedaref,South Darfur,295.0
NorthDarfur,South Darfur,35223.0
RedSea,South Darfur,3320.0
SouthDarfur,South Darfur,701858.0
WestDarfur,South Darfur,8425.0
WestKordofan,South Darfur,250.0
BlueNile,South Kordofan,645.0
NorthKordofan,South Kordofan,3660.0
RedSea,South Kordofan,3258.0
SouthKordofan,South Kordofan,100958.0
WestKordofan,South Kordofan,5523.0
CentralDarfur,West Darfur,61650.0
NorthDarfur,West Darfur,12945.0
RedSea,West Darfur,381.0
SouthDarfur,West Darfur,4600.0
WestDarfur,West Darfur,155240.0
EastDarfur,West Kordofan,1685.0
NorthDarfur,West Kordofan,145.0
NorthKordofan,West Kordofan,365.0
SouthKordofan,West Kordofan,30.0
WestKordofan,West Kordofan,59504.0
AjJazirah,White Nile,1232.0
BlueNile,White Nile,35.0
NorthKordofan,White Nile,125.0
RedSea,White Nile,875.0
SouthKordofan,White Nile,144.0
WhiteNile,White Nile,6744.0
